Category,Name,Description,Price
Appetizers,Spring Rolls,"Crispy veggie rolls with dipping sauce",5.99
Appetizers,Edamame,"Steamed soybeans with sea salt",4.99
Appetizers,Gyoza,"Pan-fried pork dumplings",6.50
Mains,Pad Thai,"Stir-fried rice noodles with egg, peanuts, and bean sprouts",12.99
Mains,Green Curry,"Spicy green curry with bamboo shoots and basil",13.99
Mains,Drunken Noodles,"Spicy wide rice noodles with basil and chilies",13.50
Mains,Pineapple Fried Rice,"Jasmine rice stir-fried with pineapple and cashews",14.00
Drinks,Thai Iced Tea,"Sweet creamy tea",3.99
Drinks,Mango Lassi,"Yogurt drink with mango pulp",4.50
Dessert,Mango Sticky Rice,"Sweet sticky rice with fresh mango and coconut milk",6.99
